,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,DeAndre Ayton,C,29,11,17.0,0.0,0.0,7.0,9.0,13.0,1.0,4.0,0.0,4.0,1.0,29.0
1,Paul Pierce,SF,32,6,11.0,0.0,0.0,6.0,9.0,5.0,3.0,2.0,1.0,2.0,0.0,18.0
2,Champ Godbolt,PF,41,7,17.0,1.0,1.0,2.0,2.0,8.0,5.0,0.0,2.0,2.0,1.0,17.0
3,Tony Pierce,PG,36,6,13.0,0.0,1.0,4.0,6.0,6.0,11.0,2.0,1.0,0.0,0.0,16.0
4,Shavon Shields,SG,36,5,9.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0,0.0,13.0
5,Tacko Fall,C,26,6,7.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0,4.0,12.0
6,Ron Harper,SF,16,3,6.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0
7,Devin Lonc,SG,16,2,4.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0,0.0,5.0
8,Jevon Carter,PG,8,1,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0
9,TEAM TOTALS,,,47,88.0,2.0,6.0,24.0,34.0,51.0,28.0,18.0,7.0,13.0,6.0,120.0
0,Shamorie Ponds,PG,38,12,27.0,2.0,6.0,2.0,2.0,4.0,10.0,4.0,2.0,2.0,1.0,28.0
1,Yommy Sangodeyi,C,40,9,15.0,0.0,0.0,3.0,8.0,9.0,0.0,3.0,2.0,0.0,0.0,21.0
2,Jackie Moon,SG,39,7,19.0,1.0,2.0,2.0,4.0,7.0,4.0,3.0,0.0,2.0,0.0,17.0
3,Brandon McCoy,PF,32,6,12.0,1.0,1.0,1.0,3.0,12.0,2.0,1.0,1.0,2.0,0.0,14.0
4,Josh Reaves,PG,10,6,9.0,0.0,1.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,14.0
5,Luke Maye,SF,34,5,12.0,2.0,3.0,1.0,2.0,12.0,3.0,5.0,0.0,2.0,0.0,13.0
6,Braxton Key,SG,9,2,4.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,5.0
7,Ed Mikan,PF,24,0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0
8,Athansios Cathasach,SF,14,1,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,1.0,2.0
9,TEAM TOTALS,,,48,103.0,6.0,14.0,14.0,26.0,58.0,24.0,20.0,8.0,13.0,3.0,116.0
10,PERCENTAGES,FG: 46.6%,3PT: 42.9%,FT: 53.8%,,,,,,,,,,,,
0,Antawn Jamison*,SF,36,13,18.0,0.0,0.0,7.0,10.0,16.0,1.0,2.0,1.0,0.0,0.0,33.0
1,Sam Perkins,PF,29,5,7.0,0.0,0.0,13.0,16.0,5.0,0.0,5.0,0.0,1.0,0.0,23.0
2,Mohamed Bamba,C,22,4,12.0,1.0,2.0,4.0,5.0,12.0,2.0,5.0,0.0,3.0,0.0,13.0
3,Sarunas Jasikevicius,PG,29,5,10.0,2.0,3.0,0.0,0.0,3.0,8.0,3.0,3.0,1.0,0.0,12.0
4,Trevon Duval,SG,27,5,12.0,0.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,12.0
5,Ayo Dosunmu,SG,31,5,8.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,1.0,11.0
6,Dazon Ingram,SF,22,4,11.0,1.0,4.0,2.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,11.0
7,Austin Wiley,C,31,4,11.0,0.0,0.0,1.0,3.0,10.0,1.0,1.0,1.0,3.0,2.0,9.0
8,Rob Gray,PG,9,0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
9,Josh Okogie,SF,5,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
10,TEAM TOTALS,,,46,92.0,5.0,11.0,31.0,40.0,59.0,27.0,19.0,8.0,10.0,5.0,128.0
0,Collin Sexton,PG,38,12,25.0,3.0,6.0,5.0,6.0,5.0,7.0,2.0,2.0,3.0,0.0,32.0
1,Tank Selvy,SG,35,4,14.0,2.0,5.0,6.0,6.0,10.0,4.0,3.0,2.0,1.0,0.0,16.0
2,Mountain Dew Camacho,C,22,3,7.0,0.0,0.0,8.0,8.0,6.0,2.0,6.0,0.0,1.0,1.0,14.0
3,Chalky Studebaker,SF,24,6,17.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,12.0
4,Kostas Antetokounmpo,SF,32,4,9.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,9.0
5,Gregor Clegane,PF,29,2,5.0,1.0,1.0,4.0,10.0,6.0,1.0,5.0,0.0,0.0,0.0,9.0
6,DJ Rony,C,33,4,12.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,3.0,2.0,8.0
7,Leonard Leslie,PF,13,1,5.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,2.0
8,Landyn Freshwater,PG,10,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
9,Jaylen Barford,SG,5,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
10,TEAM TOTALS,,,38,98.0,6.0,16.0,24.0,31.0,56.0,17.0,27.0,5.0,11.0,7.0,106.0
11,PERCENTAGES,FG: 38.8%,3PT: 37.5%,FT: 77.4%,,,,,,,,,,,,
0,Meadowlark Lemon,SG,35,10,16.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,1.0,1.0,1.0,21.0
1,Sekou Doumbouya,SF,36,6,11.0,3.0,5.0,4.0,5.0,3.0,0.0,1.0,4.0,3.0,0.0,19.0
2,Brian Beard Jr,PG,35,6,13.0,0.0,0.0,4.0,4.0,7.0,11.0,2.0,2.0,2.0,0.0,16.0
3,Scotty Poodles,C,28,3,6.0,0.0,0.0,9.0,12.0,9.0,2.0,4.0,1.0,0.0,0.0,15.0
4,Juan Keaney,SF,28,5,7.0,0.0,0.0,3.0,5.0,6.0,1.0,2.0,2.0,1.0,0.0,13.0
5,Wendell Carter Jr.,PF,34,5,11.0,0.0,0.0,2.0,2.0,12.0,3.0,5.0,0.0,3.0,0.0,12.0
6,Tobi Oyedeji,C,25,5,10.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,2.0,0.0,11.0
7,Ricky Davis,PG,7,3,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0
8,Ryan Bowen,PG,6,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
9,Darrian Ringo,SG,6,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
10,TEAM TOTALS,,,45,81.0,4.0,6.0,25.0,31.0,52.0,27.0,16.0,12.0,13.0,1.0,119.0
0,Jeffrey Fuller,SG,32,7,13.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,18.0
